City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Caravelas,BR,83.88,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
521,Sabang,ID,84.2,overcast clouds,5.8933,95.3214,Hotel Citra
524,Sigiriya,LK,80.15,few clouds,7.9518,80.7426,Hotel Sigiriya
531,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
538,Maun,BW,78.76,broken clouds,-19.9833,23.4167,Enviro Villa
539,Tautira,PF,80.33,few clouds,-17.7333,-149.15,Pension Oaoa
540,Pemangkat,ID,80.37,few clouds,1.1667,108.9667,Ramah Kost KITA
542,Seydi,TM,87.66,scattered clouds,39.4816,62.9137,Seydi oteli
544,Camocim,BR,84.07,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
546,Candelaria,PH,78.85,moderate rain,13.9311,121.4233,Casa de Provincia
554,Ouadda,CF,88.0,overcast clouds,8.0777,22.4007,
555,Kieta,PG,79.88,light rain,-6.2167,155.6333,Uruna Bay Retreat
556,Makasar,ID,77.05,moderate rain,-5.14,119.4221,Aryaduta Makassar
557,Qui Nhon,VN,78.24,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
561,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
564,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
565,Antalaha,MG,81.43,clear sky,-14.9003,50.2788,Hotel Vitasoa
567,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
573,Marzuq,YE,89.31,clear sky,14.4,46.4667,
574,San Ignacio,BZ,75.34,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
578,Sola,VU,80.56,overcast clouds,-13.8833,167.55,Leumerus Bungalows
581,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
585,Tukrah,LY,78.82,clear sky,32.5341,20.5791,Lagrota restaurant
587,Bubaque,GW,79.86,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
588,Soma,TR,88.75,clear sky,39.1855,27.6094,Hotel Labella
589,Uarini,BR,75.45,overcast clouds,-2.99,-65.1083,
590,Matara,LK,78.91,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
592,Timiryazevskoye,RU,81.55,light rain,56.49,84.8769,Kovcheg
596,Black River,JM,80.85,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
597,Andijon,UZ,83.48,clear sky,40.7821,72.3442,"Hotel ""Bog'ishamol"""
603,Phan Thiet,VN,80.28,overcast clouds,10.9333,108.1,Hotel Saigon-PT
604,Raalte,NL,75.29,overcast clouds,52.3858,6.275,Hotel-Restaurant De Zwaan
606,Gweta,BW,78.19,clear sky,-20.1833,25.2333,Gweta Lodge
613,Betare Oya,CM,82.2,light rain,5.6,14.0833,Auberge Tembina Betaré Oya
614,Shache,CN,79.63,moderate rain,38.4167,77.2406,Delong Hotel
622,Cururupu,BR,86.58,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
633,Tirumullaivasal,IN,87.01,scattered clouds,11.2333,79.8333,
635,Msowero,TZ,81.18,scattered clouds,-6.5333,37.2,
636,Santa Isabel Do Rio Negro,BR,77.88,overcast clouds,-0.4139,-65.0192,Hotel GSA
638,Plettenberg Bay,ZA,77.59,clear sky,-34.0527,23.3716,Thanda Vista B&B
639,Luanda,AO,82.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
640,Umm Lajj,SA,84.96,clear sky,25.0213,37.2685,Moon light Furnished Units
