City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Saint-Michel-Des-Saints,CA,2022-05-12 19:01:23,46.6834,-73.9159,81.93,34,9,9.71
168,Clyde River,CA,2022-05-12 19:01:23,70.4692,-68.5914,26.83,68,20,14.97
169,Adrar,MR,2022-05-12 19:01:23,20.5022,-10.0711,97.5,10,1,8.48
170,Bengkulu,ID,2022-05-12 19:01:24,-3.8004,102.2655,76.08,88,100,3.67
171,Lazaro Cardenas,MX,2022-05-12 19:01:24,17.9583,-102.2,90.37,47,2,14.32
172,Chulym,RU,2022-05-12 19:01:25,55.0997,80.9572,54.61,32,100,5.12
173,East London,ZA,2022-05-12 19:00:33,-33.0153,27.9116,66.18,82,0,5.17
174,Prince Rupert,CA,2022-05-12 18:58:59,54.3161,-130.3201,46.09,78,75,9.22
175,Bucerias,MX,2022-05-12 19:00:00,20.75,-105.3333,91.4,42,6,10.4
176,Magdagachi,RU,2022-05-12 19:01:25,53.45,125.8,31.98,97,70,3.2
177,Manacapuru,BR,2022-05-12 19:01:26,-3.2997,-60.6206,82.53,82,98,5.37
178,Sao Filipe,CV,2022-05-12 19:01:26,14.8961,-24.4956,75.31,73,93,8.79
179,Kodiak,US,2022-05-12 19:01:27,57.79,-152.4072,44.1,72,43,6.22
180,La Reforma,MX,2022-05-12 19:01:27,25.0833,-108.05,91.18,38,1,14.5
181,Barabai,ID,2022-05-12 19:01:28,-2.5833,115.3833,74.05,99,88,0.6
182,Gamba,GA,2022-05-12 19:02:28,-2.65,10.0,77.58,89,100,4.52
183,Banyo,CM,2022-05-12 19:02:29,6.75,11.8167,68.16,93,26,5.5
184,Kruisfontein,ZA,2022-05-12 19:02:29,-34.0033,24.7314,55.89,89,4,6.71
185,Tateyama,JP,2022-05-12 19:02:30,34.9833,139.8667,65.1,97,100,5.35
186,Portland,US,2022-05-12 19:00:07,45.5234,-122.6762,49.57,89,100,5.99
187,Kenai,US,2022-05-12 19:02:30,60.5544,-151.2583,53.02,64,51,5.77
188,Springbok,ZA,2022-05-12 19:02:31,-29.6643,17.8865,45.82,81,0,2.73
189,Marapanim,BR,2022-05-12 19:02:31,-0.7175,-47.6997,78.89,91,100,3.06
190,Anandnagar,IN,2022-05-12 19:02:32,27.1,83.2833,84.52,56,2,8.48
191,Leningradskiy,RU,2022-05-12 19:02:32,69.3833,178.4167,18.32,88,20,5.99
192,Lompoc,US,2022-05-12 19:00:57,34.6391,-120.4579,79.02,43,96,7.0
193,Talnakh,RU,2022-05-12 19:02:32,69.4865,88.3972,30.79,98,100,4.76
194,Vieques,PR,2022-05-12 19:02:33,18.425,-65.8329,83.1,80,100,17.56
195,Vidim,RU,2022-05-12 19:02:33,56.4088,103.1106,44.47,52,100,1.79
196,Manchester,GB,2022-05-12 19:02:33,53.4809,-2.2374,56.55,61,40,9.22
197,Half Moon Bay,US,2022-05-12 19:02:34,37.4636,-122.4286,66.6,59,0,17.27
198,Ust-Ishim,RU,2022-05-12 19:02:34,57.6935,71.1665,55.62,63,83,2.44
199,Hofn,IS,2022-05-12 19:02:35,64.2539,-15.2082,41.9,56,100,13.29
200,Shenjiamen,CN,2022-05-12 19:02:35,29.9576,122.298,62.6,98,100,9.86
201,Richards Bay,ZA,2022-05-12 19:02:35,-28.783,32.0377,70.84,84,4,10.33
202,Olafsvik,IS,2022-05-12 19:02:36,64.8945,-23.7142,35.96,77,89,28.59
203,Altagracia De Orituco,VE,2022-05-12 19:02:36,9.8601,-66.3814,94.3,30,99,5.37
204,Gornozavodsk,RU,2022-05-12 19:02:37,58.3758,58.3211,44.69,83,94,3.74
205,Tatawin,TN,2022-05-12 19:02:37,32.9297,10.4518,68.18,46,0,8.75
206,Ballina,AU,2022-05-12 19:02:37,-28.8667,153.5667,69.78,88,100,18.3
207,Irbit,RU,2022-05-12 19:02:38,57.6705,63.071,53.19,52,99,5.7
208,Stornoway,GB,2022-05-12 19:02:38,58.2093,-6.3865,51.76,83,40,14.97
209,La Serena,CL,2022-05-12 19:02:38,-29.9078,-71.2542,65.16,64,100,5.06
210,Saint-Augustin,CA,2022-05-12 19:01:34,51.226,-58.6502,55.96,35,91,17.25
211,Ripky,UA,2022-05-12 19:02:39,51.801,31.0838,54.23,91,99,6.71
212,Grodzisk Mazowiecki,PL,2022-05-12 19:01:32,52.1039,20.6337,61.03,41,17,5.77
213,Matay,EG,2022-05-12 19:02:39,28.419,30.7792,82.27,22,28,15.75
214,Port Lincoln,AU,2022-05-12 19:00:48,-34.7333,135.8667,58.98,81,100,7.58
215,Tenenkou,ML,2022-05-12 19:02:40,14.4572,-4.9169,98.62,4,86,6.29
216,Lujan,AR,2022-05-12 19:00:05,-34.5703,-59.105,65.01,58,7,3.0
217,Neuquen,AR,2022-05-12 19:02:40,-38.9516,-68.0591,58.68,66,100,7.72
218,Caucaia,BR,2022-05-12 19:02:04,-3.7361,-38.6531,86.31,74,23,8.52
219,Port Elizabeth,ZA,2022-05-12 19:00:15,-33.918,25.5701,62.31,85,4,5.99
220,Rafsanjan,IR,2022-05-12 19:02:41,30.4067,55.9939,80.64,6,0,7.45
221,Hami,CN,2022-05-12 19:02:41,42.8,93.45,60.46,16,32,26.11
222,Havoysund,NO,2022-05-12 19:02:41,70.9963,24.6622,37.63,100,100,22.03
223,Chapais,CA,2022-05-12 19:02:42,49.7834,-74.8492,78.17,29,100,7.67
224,Jalu,LY,2022-05-12 19:02:42,29.0331,21.5482,73.56,57,5,8.55
225,Canto Do Buriti,BR,2022-05-12 19:02:42,-8.11,-42.9444,92.89,33,78,8.37
226,Snasa,NO,2022-05-12 19:02:43,64.2457,12.3778,44.01,98,100,9.73
227,Katsuura,JP,2022-05-12 19:02:43,35.1333,140.3,67.28,97,100,9.73
228,Raudeberg,NO,2022-05-12 19:03:43,61.9875,5.1352,45.27,88,100,24.32
229,Belyy,RU,2022-05-12 19:03:44,55.8402,32.9419,48.69,88,93,15.52
230,Goure,NE,2022-05-12 19:03:44,13.9835,10.2704,93.74,13,25,8.46
231,Nakamura,JP,2022-05-12 19:03:44,32.9833,132.9333,66.9,98,100,1.43
232,Neiafu,TO,2022-05-12 19:01:16,-18.65,-173.9833,75.63,78,100,22.15
233,Ulagan,RU,2022-05-12 19:03:45,50.6321,87.9563,41.0,61,0,1.9
234,Presidencia Roque Saenz Pena,AR,2022-05-12 19:03:02,-26.7852,-60.4388,72.48,47,0,7.49
235,Ostrovnoy,RU,2022-05-12 19:03:45,68.0531,39.5131,41.25,85,6,7.02
236,Iskateley,RU,2022-05-12 19:03:45,67.6803,53.1512,40.57,99,100,8.39
237,Keflavik,IS,2022-05-12 19:03:46,64.0049,-22.5624,41.43,65,75,16.11
238,Sao Jose Da Coroa Grande,BR,2022-05-12 19:03:46,-8.8978,-35.1478,81.19,76,28,9.22
239,Buraydah,SA,2022-05-12 19:03:47,26.326,43.975,86.34,10,0,9.8
240,Carira,BR,2022-05-12 19:03:47,-10.3608,-37.7011,84.69,43,87,15.82
241,Gouloure,BF,2022-05-12 19:03:47,12.2306,-1.9289,90.75,39,18,5.03
242,Miyako,JP,2022-05-12 19:03:48,39.6367,141.9525,57.99,97,100,8.5
243,Port Macquarie,AU,2022-05-12 19:03:48,-31.4333,152.9167,65.89,90,100,11.05
244,Baykit,RU,2022-05-12 19:03:48,61.67,96.37,34.52,97,49,1.48
245,Laem Sing,TH,2022-05-12 19:03:49,12.4816,102.0738,85.14,100,100,5.5
246,Guerrero Negro,MX,2022-05-12 19:03:49,27.9769,-114.0611,79.23,27,12,5.7
247,Moengo,SR,2022-05-12 19:03:49,5.6167,-54.4,84.51,66,22,7.74
248,Pimentel,PE,2022-05-12 19:03:50,-6.8367,-79.9342,67.82,78,27,16.96
249,Ulladulla,AU,2022-05-12 19:03:50,-35.35,150.4667,61.77,94,100,5.19
250,Fortuna,US,2022-05-12 19:03:50,40.5982,-124.1573,58.66,67,100,5.75
