City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Kurumkan,RU,2022-05-17 13:10:03,54.3,110.3,53.76,68,88,7.2,overcast clouds
185,Poso,ID,2022-05-17 13:10:04,-1.3959,120.7524,78.93,89,100,0.89,overcast clouds
186,Jacqueville,CI,2022-05-17 13:10:04,5.2052,-4.4146,82.96,77,90,9.15,overcast clouds
187,Lebu,CL,2022-05-17 13:10:04,-37.6167,-73.65,51.26,57,24,4.45,few clouds
188,Todos Santos,MX,2022-05-17 13:08:31,23.45,-110.2167,63.66,89,27,3.78,scattered clouds
189,Mahebourg,MU,2022-05-17 13:10:05,-20.4081,57.7,75.49,73,75,16.11,broken clouds
190,Hermosillo,MX,2022-05-17 13:08:29,29.0667,-110.9667,77.85,35,0,8.05,clear sky
191,Tezu,IN,2022-05-17 13:05:21,27.9167,96.1667,70.95,97,100,5.68,light rain
192,Sistranda,NO,2022-05-17 13:10:05,63.7256,8.834,57.16,66,14,14.85,few clouds
193,Homer,US,2022-05-17 13:07:30,59.6425,-151.5483,47.05,78,20,5.75,few clouds
194,Anchorage,US,2022-05-17 13:06:39,61.2181,-149.9003,46.65,72,40,8.01,scattered clouds
195,Kletskaya,RU,2022-05-17 13:10:06,49.3145,43.0584,59.95,37,97,19.66,overcast clouds
196,Puerto Ayora,EC,2022-05-17 13:10:06,-0.7393,-90.3518,72.55,97,100,4.12,overcast clouds
197,Kadoma,JP,2022-05-17 13:10:06,34.7333,135.5833,63.18,55,100,6.8,overcast clouds
198,Saint-Philippe,RE,2022-05-17 13:10:07,-21.3585,55.7679,76.59,79,74,14.14,light rain
199,Vanavara,RU,2022-05-17 13:10:07,60.34,102.2797,60.93,49,80,6.11,broken clouds
200,Leningradskiy,RU,2022-05-17 13:10:08,69.3833,178.4167,23.68,96,100,8.46,overcast clouds
201,At-Bashi,KG,2022-05-17 13:10:08,41.1702,75.8106,62.8,28,8,13.06,clear sky
202,Ampanihy,MG,2022-05-17 13:10:08,-24.7,44.75,79.18,38,0,13.18,clear sky
203,Ishinomaki,JP,2022-05-17 13:10:09,38.4167,141.3,56.17,86,100,2.48,overcast clouds
204,Salinas,US,2022-05-17 13:10:09,36.6777,-121.6555,53.69,78,100,8.05,overcast clouds
205,Cabo San Lucas,MX,2022-05-17 13:05:25,22.8909,-109.9124,75.51,62,20,14.97,few clouds
206,Sinop,TR,2022-05-17 13:10:09,41.7711,34.8709,59.43,53,6,7.2,clear sky
207,Corner Brook,CA,2022-05-17 13:10:10,48.9667,-57.9484,45.7,80,100,7.78,overcast clouds
208,Mahibadhoo,MV,2022-05-17 13:10:10,3.7833,72.9667,83.01,81,100,23.62,overcast clouds
209,Namatanai,PG,2022-05-17 13:10:10,-3.6667,152.4333,79.75,80,41,4.56,scattered clouds
210,Ilulissat,GL,2022-05-17 13:10:11,69.2167,-51.1,28.42,69,75,0.0,broken clouds
211,Ust-Nera,RU,2022-05-17 13:10:11,64.5667,143.2,30.74,93,100,2.53,overcast clouds
212,Poum,NC,2022-05-17 13:10:11,-20.2333,164.0167,77.09,78,48,12.64,scattered clouds
213,Bengkulu,ID,2022-05-17 13:10:12,-3.8004,102.2655,80.06,83,96,6.69,overcast clouds
214,Brae,GB,2022-05-17 13:10:12,60.3964,-1.353,53.58,79,4,21.94,clear sky
215,Bethel,US,2022-05-17 13:10:12,41.3712,-73.414,64.45,72,0,9.22,clear sky
216,Kaitangata,NZ,2022-05-17 13:10:13,-46.2817,169.8464,47.77,88,98,5.14,overcast clouds
217,Krasnoselkup,RU,2022-05-17 13:10:16,65.7,82.4667,52.75,85,100,4.83,overcast clouds
218,Ancud,CL,2022-05-17 13:10:17,-41.8697,-73.8203,44.01,72,100,8.88,overcast clouds
219,Broome,US,2022-05-17 13:10:17,42.2506,-75.833,59.7,74,100,12.66,overcast clouds
220,Kiruna,SE,2022-05-17 13:10:17,67.8557,20.2251,36.52,60,100,4.61,overcast clouds
221,Luderitz,NA,2022-05-17 13:10:18,-26.6481,15.1594,77.52,38,1,19.62,clear sky
222,Margate,GB,2022-05-17 13:10:18,51.3813,1.3862,74.1,78,33,8.81,scattered clouds
223,Mar Del Plata,AR,2022-05-17 13:09:10,-38.0023,-57.5575,55.94,77,100,23.02,light rain
224,Mahajanga,MG,2022-05-17 13:10:18,-15.7167,46.3167,89.62,43,40,9.22,scattered clouds
225,Saint-Joseph,RE,2022-05-17 13:10:19,-21.3667,55.6167,75.58,76,42,15.19,light rain
226,Bose,IT,2022-05-17 13:10:19,45.4612,8.0137,84.24,50,100,4.21,overcast clouds
227,Vieques,PR,2022-05-17 13:11:19,18.425,-65.8329,84.85,74,20,13.8,few clouds
228,Salinopolis,BR,2022-05-17 13:11:20,-0.6136,-47.3561,83.98,73,66,11.45,broken clouds
229,Ozinki,RU,2022-05-17 13:11:20,51.1786,49.6769,56.84,57,93,13.58,light rain
230,Grand-Santi,GF,2022-05-17 13:11:20,4.25,-54.3833,81.03,81,100,3.51,overcast clouds
231,Fairbanks,US,2022-05-17 13:10:02,64.8378,-147.7164,37.09,88,75,0.0,broken clouds
232,Tuatapere,NZ,2022-05-17 13:11:21,-46.1333,167.6833,47.17,89,56,5.55,broken clouds
233,Abu Samrah,SY,2022-05-17 13:11:21,35.3029,37.1841,84.4,24,1,15.05,clear sky
234,Sao Filipe,CV,2022-05-17 13:11:22,14.8961,-24.4956,81.61,53,50,8.5,scattered clouds
235,Bay City,US,2022-05-17 13:11:22,43.5945,-83.8889,53.92,64,0,10.36,clear sky
236,Hammerfest,NO,2022-05-17 13:11:22,70.6634,23.6821,36.05,93,100,18.41,light intensity drizzle
237,Dolinsk,RU,2022-05-17 13:11:23,47.35,142.8,45.63,91,0,8.43,clear sky
238,Lebedinyy,RU,2022-05-17 13:11:23,58.5167,125.5167,29.91,92,64,8.68,broken clouds
239,Bouna,CI,2022-05-17 13:11:23,9.2667,-3.0,103.15,25,98,4.54,overcast clouds
240,Acarau,BR,2022-05-17 13:11:24,-2.8856,-40.12,83.77,72,70,13.31,broken clouds
241,Airai,TL,2022-05-17 13:11:24,-8.9266,125.4092,60.75,90,97,2.66,overcast clouds
242,Ko Samui,TH,2022-05-17 13:11:28,9.5357,99.9357,83.53,75,100,10.98,overcast clouds
243,Atar,MR,2022-05-17 13:11:29,20.5169,-13.0499,106.72,7,45,15.17,scattered clouds
244,Shellbrook,CA,2022-05-17 13:11:29,53.2168,-106.4011,42.24,89,100,10.51,overcast clouds
245,Thung Song,TH,2022-05-17 13:11:29,8.1645,99.6804,76.84,95,100,3.56,light rain
